Tree no.,Address,Total species,Year planted,Year lost,Longevity (years),Species,Cultivar,Nativity,Genus,Family,Total species,Common name,,Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-3),Trk (0-4),Trk (0-4),Trk (0-4),Trk damage cause,,CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),,Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),,Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cause of loss,Comment,Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk height (in.),in./year,Date planted, Cause of loss
090000,,,,,,,,,,,,,,10/1/2013,5/1/2014,10/2/2015,9/23/2016,10/20/2017,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,,10/1/2013,5/1/2014,10/2/2015,9/23/2016,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,10/2/2015,9/23/2016,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,10/1/2013,5/1/2014,10/2/2015,9/23/2016,10/20/2017,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,,Davey,7/15/2012,9/18/2012,10/14/2013,10/2/2015,9/23/2016,10/20/2017,11/19/2018,9/16/2019,9/22/2020,9/28/2021,9/7/2022,9/8/2023,9/19/2024,9/22/2020,,,
090206,1325,Gleditsia triacanthos var. inermis,2012,,,Gleditsia triacanthos var. inermis,Shademaster,N,Gleditsia,Fabaceae,Gleditsia triacanthos var. inermis,Honey locust,,1,1,0,0,0,0,1,0,0,0,0,0,,,0,5,10,0,0,0,0,0,0,0,20,,0,0,0,0,0,0,0,0,0,,1,2,1,1,2,1,2,2,1,1,1,2,,,,2.00,2.00,2.01,2.60,3.31,4.04,4.75,5.42,6.15,6.90,7.48,8.06,8.77,,0.57,5/17/2012,
090207,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090300,14th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090301,1401,,X,,,,,,,,,Sugar maple,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090302,1401,,X,,,,,,,,,Sugar maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090303,1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090304,1407,Tilia cordata,2012,,,Tilia cordata,,E,Tilia,Tiliaceae,Tilia cordata,Littleleaf linden,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,2,1,2,2,1,1,1,1,,,,2.10,2.10,2.09,2.44,2.83,3.26,3.58,3.93,4.28,4.53,4.75,4.94,5.30,,0.27,5/17/2012,
090305,,,X (I),,,,,,,,,Silver maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X (I),
090306,1413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090307,1415,Tilia tomentosa,2012,2023,11,,,,,,Tilia tomentosa,Silver linden,,0,0,1,0,0,0,0,0,0,4,,,,,0,0,5,0,0,0,0,0,10,,,,0,0,0,0,0,0,0,,,,1,1,2,1,1,1,1,2,1,4,6,6,Human,Bark stripped off lower 4 ft (22),,1.75,1.75,1.85,2.24,2.64,3.29,3.85,4.32,4.77,5.06,4.99,,,,,5/17/2012,
090308,1417,Ulmus 'Frontier',2012,,,Ulmus 'Frontier',Frontier,E,Ulmus,Ulmaceae,Ulmus 'Frontier',Frontier Elm,,1,0,0,0,0,0,0,0,0,0,1,0,M,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,2,2,1,2,2,1,1,1,1,,,,1.90,1.75,1.97,3.07,3.66,4.45,5.05,5.86,6.33,6.84,7.45,8.10,8.90,,0.57,5/17/2012,
090309,,Acer saccharum,X (I),,,,,,,,,Sugar maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X (I),
090400,15th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090401,Park,Tilia americana,X,,,,,,,,,Linden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090402,Park,Tilia americana,X,,,,,,,,,Linden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090403,Park,Gymnocladus dioicus,2012,,,Gymnocladus dioicus,,N,Gymnocladus,Fabaceae,Gymnocladus dioicus,Kentucky coffee tree,,0,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,1,1,,,,1.70,1.50,1.61,2.05,2.68,3.34,3.93,4.80,5.43,6.06,6.49,6.91,7.43,,0.50,5/17/2012,
