Tree no.,Address,Total species,Year planted,Year lost,Longevity (years),Species,Cultivar,Nativity,Genus,Family,Total species,Common name,,Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-3),Trk (0-4),Trk (0-4),Trk (0-4),Trk damage cause,,CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),,Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),,Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cause of loss,Comment,Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk height (in.),in./year,Date planted, Cause of loss
090000,,,,,,,,,,,,,,10/1/2013,5/1/2014,10/2/2015,9/23/2016,10/20/2017,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,,10/1/2013,5/1/2014,10/2/2015,9/23/2016,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,10/2/2015,9/23/2016,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,10/1/2013,5/1/2014,10/2/2015,9/23/2016,10/20/2017,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,,Davey,7/15/2012,9/18/2012,10/14/2013,10/2/2015,9/23/2016,10/20/2017,11/19/2018,9/16/2019,9/22/2020,9/28/2021,9/7/2022,9/8/2023,9/19/2024,9/22/2020,,,
090702,1815,Ginkgo biloba,2012,,,Ginkgo biloba,Princeton Sentry,E,Ginkgo,Ginkgoaceae,Ginkgo biloba,Ginkgo,,0,0,0,0,0,1,1,1,1,1,0,0,,,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,1,1,1,1,,,,1.75,1.70,1.73,2.36,2.76,3.62,4.37,5.08,5.55,6.17,6.57,9.01,7.64,,0.55,5/17/2012,
090703,1819,Zelkova serrata,2012,,,Zelkova serrata,Green Vase,E,Zelkova,Ulmaceae,Zelkova serrata,Zelkova,,0,0,0,3,3,2,0,0,0,0,0,0,,,0,0,0,50,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,1,1,1,4,3,2,1,1,2,1,1,1,,many narrow crotches,,1.75,1.75,2.05,3.70,4.13,5.03,5.82,6.54,7.26,8.03,9.70,9.50,10.48,45,0.72,5/17/2012,
090704,1825,Tilia cordata,2012,,,Tilia cordata,,E,Tilia,Tiliaceae,Tilia cordata,Littleleaf linden,,0,0,0,0,0,0,0,1,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,2,2,1,1,1,,,,1.95,1.95,1.97,2.95,3.50,4.09,4.56,5.12,5.66,6.29,6.92,7.60,8.46,,0.52,5/17/2012,
090705,1825,Gleditsia triacanthos var. inermis,2012,,,Gleditsia triacanthos var. inermis,,N,Gleditsia,Fabaceae,Gleditsia triacanthos var. inermis,Honey locust,,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,2,1,1,1,2,1,1,,,,1.80,1.80,1.93,2.80,3.54,4.53,5.49,6.07,6.80,7.73,8.32,9.33,10.33,,0.69,5/17/2012,
090706,1829,Acer truncatum x platanoides,2012,,,Acer truncatum x platanoides,Keithsform,E,Acer,Aceraceae,Acer truncatum x platanoides,Norwegian Sunset maple,,0,0,1,2,1,0,0,0,0,1,1,2,M,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,3,2,1,1,2,1,1,1,2,,,,1.70,1.65,1.65,2.20,2.68,3.22,3.53,3.83,4.30,4.84,5.12,5.60,6.10,49,0.36,5/17/2012,
090707,1835,Tilia tomentosa,2012,,,Tilia tomentosa,,E,Tilia,Tiliaceae,Tilia tomentosa,Silver linden,,0,0,1,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,2,1,1,1,2,1,1,,,,1.80,1.80,1.85,3.46,4.17,5.06,5.97,6.83,7.76,8.56,9.24,10.04,10.84,50,0.75,5/17/2012,
090800,19th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090801,1901,Ulmus 'Frontier',2012,,,Ulmus 'Frontier',Frontier,E,Ulmus,Ulmaceae,Ulmus 'Frontier',Frontier Elm,,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,,,,1.75,1.80,2.40,4.69,5.98,7.42,8.87,10.35,11.47,12.46,13.40,14.45,15.67,,1.16,5/17/2012,
090802,1903,Tilia cordata,2012,,,Tilia cordata,,E,Tilia,Tiliaceae,Tilia cordata,Littleleaf linden,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,1,1,1,1,1,1,1,,,,,,1.14,2.20,2.95,3.90,4.7,5.48,6.39,6.59,7.12,7.64,8.21,,0.67,11/5/2012,
090803,1909,Celtis occidentalis,X,,,,,,,,,Hackberry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090804,1909,Celtis occidentalis,X,,,,,,,,,Hackberry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090805,Vacant lot,Carpinus betulus,X,,,,,,,,,Eastern hop hornbeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090806,1919,Ginkgo biloba,2012,,,Ginkgo biloba,Princeton Sentry,E,Ginkgo,Ginkgoaceae,Ginkgo biloba,Ginkgo,,0,0,0,0,1,0,1,1,0,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,2,1,2,2,1,2,1,1,,,,1.60,1.60,1.69,2.87,3.43,4.10,4.96,5.83,6.69,7.52,8.26,9.18,10.14,,0.69,5/17/2012,
090807,1923,Zelkova serrata,2012,,,Zelkova serrata,Green Vase,E,Zelkova,Ulmaceae,Zelkova serrata,Zelkova,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,,,,1.50,1.50,1.97,3.62,4.72,5.60,6.56,7.37,8.02,8.75,9.43,10.12,10.89,42,0.78,5/17/2012,
090808,1931,Ulmus americana,X,,,,,,,,,American elm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090809,1937,Ulmus americana,X,,,,,,,,,American elm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090810,1937,Ulmus americana,X,,,,,,,,,American elm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090811,1941,Ulmus americana,X,,,,,,,,,American elm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090812,1941,Ulmus americana,X,,,,,,,,,American elm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090813,1941,Ulmus americana,X,,,,,,,,,American elm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090814,1943,Ulmus americana,X,,,,,,,,,American elm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090815,1947,Ulmus americana,X,,,,,,,,,American elm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090816,1947,Ulmus americana,X,,,,,,,,,American elm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
090817,2025,Gymnocladus dioicus,2012,,,Gymnocladus dioicus,,N,Gymnocladus,Fabaceae,Gymnocladus dioicus,Kentucky coffee tree,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,1,1,1,1,1,1,1,1,2,1,1,1,,,,1.75,1.65,1.73,2.36,3.46,4.30,5.18,6.11,6.72,7.50,8.28,8.85,9.60,,0.67,5/17/2012,
090818,2025,Acer truncatum x platanoides,2012,,,Acer truncatum x platanoides,Keithsform,E,Acer,Aceraceae,Acer truncatum x platanoides,Norwegian Sunset maple,,0,0,0,1,0,0,0,1,0,1,0,0,,,0,0,5,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,,1,1,2,2,2,1,1,2,1,1,1,1,,,,1.55,1.55,1.61,2.28,2.68,3.31,3.75,4.13,4.37,4.93,5.14,5.41,5.80,,0.36,5/17/2012,
090819,2025,Tilia tomentosa,2012,,,Tilia tomentosa,,E,Tilia,Tiliaceae,Tilia tomentosa,Silver linden,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,,,,1.70,1.70,1.69,3.15,3.90,4.71,5.43,6.14,6.77,7.30,7.78,8.27,8.95,,0.61,5/17/2012,
090820,2025,Ulmus 'Frontier',2012,,,Ulmus 'Frontier',Frontier,E,Ulmus,Ulmaceae,Ulmus 'Frontier',Frontier Elm,,0,,0,0,0,0,0,0,1,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1.93,3.46,4.41,5.53,6.54,7.71,8.67,9.55,10.25,11.19,12.02,,0.95,5/17/2012,
091100,Greenbush N side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091101,Wabash Center,Tilia cordata,2012,,,Tilia cordata,,E,Tilia,Tiliaceae,Tilia cordata,Littleleaf linden,,0,1,3,2,2,2,1,1,3,3,2,1,E,,0,0,0,0,0,30,0,0,40,0,0,,0,0,0,0,0,0,0,0,0,,1,1,3,3,2,2,2,2,3,3,3,2,,,,2.00,2.00,2.05,2.68,3.27,3.85,4.13,4.37,4.50,4.90,5.37,5.72,6.34,,0.34,5/17/2012,
091102,Wabash Center,Gleditsia triacanthos var. inermis,2012,,,Gleditsia triacanthos var. inermis,,N,Gleditsia,Fabaceae,Gleditsia triacanthos var. inermis,Honey locust,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,20,70,15,0,40,70,0,10,0,25,,0,0,0,0,0,0,0,0,0,,1,3,3,3,2,1,2,2,1,2,2,2,,,,1.75,1.75,1.61,2.40,2.95,3.68,4.92,5.58,6.30,6.98,7.79,8.69,9.64,46,0.65,5/17/2012,
091103,Wabash Center,Zelkova serrata,2012,,,Zelkova serrata,Green Vase,E,Zelkova,Ulmaceae,Zelkova serrata,Zelkova,,0,0,0,0,0,0,0,0,1,0,1,2,M,,0,2,0,0,0,0,0,0,0,0,10,,0,0,0,0,0,0,0,0,0,,1,2,1,1,1,1,1,1,1,1,1,2,,,,1.75,1.75,1.97,3.82,4.72,5.76,6.67,7.05,7.50,7.47,7.83,8.04,8.14,,0.57,5/17/2012,
091200,20th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091201,1938,Ginkgo biloba,2012,2024,12,,Princeton Sentry,,,,Ginkgo biloba,Ginkgo,,2,0,2,1,1,1,0,0,0,0,4,4,M,,0,0,0,0,0,0,0,0,0,0,99,,0,0,0,0,0,0,0,0,0,,1,1,2,2,2,2,1,1,1,1,3,5,Died,,,1.75,1.75,1.81,2.05,2.24,2.66,3.09,3.44,3.67,4.29,4.77,5.20,5.15,,0.30,5/17/2012,
091202,1936,Tilia americana,X,,,,,,,,,American basswood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
091203,1926,Ulmus 'Frontier',2012,,,Ulmus 'Frontier',Frontier,E,Ulmus,Ulmaceae,Ulmus 'Frontier',Frontier elm,,2,0,0,0,1,0,1,1,1,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,2,1,2,2,1,1,1,1,,,,1.80,1.95,2.44,4.37,5.71,7.28,8.63,9.88,11.15,12.31,13.29,14.40,15.59,,1.14,5/17/2012,
091204,1924,Acer saccharum,X,,,,,,,,,Maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
091205,1922,Ginkgo biloba,2012,,,Ginkgo biloba,Princeton Sentry,E,Ginkgo,Ginkgoaceae,Ginkgo biloba,Ginkgo,,0,0,0,1,1,1,0,1,0,0,1,1,M,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,,1,1,2,2,2,2,1,1,1,1,1,1,,,,1.50,1.40,1.50,1.77,2.09,2.58,3.24,3.92,4.46,5.33,6.10,6.99,8.00,,0.51,5/17/2012,
091206,1918,Tilia americana,2012,,,Tilia americana,,N,Tilia,Tiliaceae,Tilia americana,American basswood,,1,1,3,3,3,0,0,1,0,0,0,0,,,0,0,0,0,0,30,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,2,3,3,2,2,2,2,2,1,1,1,,,,2.25,2.25,2.28,2.64,3.23,3.75,4.27,4.86,5.27,5.90,6.59,7.10,8.00,,0.46,5/17/2012,
091207,1912,Gleditsia triacanthos var. inermis,2012,,,Gleditsia triacanthos var. inermis,,N,Gleditsia,Fabaceae,Gleditsia triacanthos var. inermis,Honey locust,,0,0,0,0,0,0,0,0,0,0,0,0,,,10,0,20,30,0,0,0,0,0,0,5,,0,0,0,0,0,0,0,0,0,,1,1,2,2,1,1,1,1,1,1,1,1,,,,2.00,2.00,1.97,2.80,3.19,4.20,5.35,6.47,7.32,8.62,9.29,10.25,11.37,43,0.77,5/17/2012,
091208,1908,Acer platanoides,X,,,,,,,,,Norway maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
091209,1908,Acer platanoides,X,,,,,,,,,Norway maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
091210,1904,Celtis occidentalis,X,,,,,,,,,Hackberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
091211,1904,Celtis occidentalis,X,,,,,,,,,Hackberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
091212,1900,Pyrus sp.,X,,,,,,,,,Pear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
091300,19th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091301,1834,Acer truncatum x platanoides,2012,,,Acer truncatum x platanoides,Keithsform,E,Acer,Aceraceae,Acer truncatum x platanoides,Norwegian Sunset maple,,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,1,2,1,2,1,1,1,1,1,1,1,1,,,,1.70,1.70,1.69,3.19,4.29,5.35,6.21,7.07,7.64,8.56,9.21,10.10,10.98,,0.77,5/17/2012,
091302,1830,Quercus rubra,X,,,,,,,,,Northern red oak ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
091303,1824,Gleditsia triacanthos var. inermis,X,,,,,,,,,Honey locust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
091304,1822,Gleditsia triacanthos var. inermis,X,,,,,,,,,Honey locust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
091305,1810,Tilia cordata,2012,2021,9,,,,,,Tilia cordata,Littleleaf linden,,0,0,0,0,0,0,4,,,,,,,,30,20,60,50,50,90,,,,,,,1,2,1,0,,,,,,,1,3,3,4,3,4,4,4,6,6,6,6,Died,,,2.00,1.95,2.01,2.01,2.13,2.13,2.2,2.17,,,,,,,,,Died
091306,1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,Human,2020: removed,,,,,,,,,,,,,,,,,,
091307,1804,Fraxinus,X,,,,,,,,,White ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020: removed,,,,,,,,,,,,,,,,,X,
091308,1800,Ulmus americana,X,,,,,,,,,American elm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020: removed,,,,,,,,,,,,,,,,,X,
091400,18th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091401,1734,Quercus shumardii,2012,,,Quercus shumardii,,N,Quercus,Fagaceae,Quercus shumardii,Shumard oak,,0,0,0,0,0,0,0,0,0,3,2,2,E,,0,0,0,0,0,0,0,0,0,0,0,,1,2,1,0,0,0,0,0,0,,1,1,2,3,2,2,1,1,1,2,2,1,,,,1.30,1.30,1.42,2.32,3.03,3.64,4.36,5.00,5.63,6.22,7.00,7.75,8.43,,0.58,5/17/2012,
091402,1728,Quercus rubra,2012,,,Quercus rubra,,N,Quercus,Fagaceae,Quercus rubra,Northern red oak,,0,0,0,0,0,0,0,0,0,0,0,2,,,0,5,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,2,1,1,1,1,1,,,,1.75,1.75,1.81,2.91,3.50,4.21,5.15,5.95,6.67,7.43,8.19,8.92,9.55,,0.65,5/17/2012,
091403,1718,Quercus imbricaria,2012,,,Quercus imbricaria,,N,Quercus,Fagaceae,Quercus imbricaria,Shingle oak,,0,0,1,0,0,0,0,0,0,0,0,0,,,0,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,2,2,1,2,1,1,1,1,1,1,1,,,,2.50,2.50,2.68,3.11,3.58,3.93,4.6,5.10,5.83,6.34,7.03,7.80,8.64,,0.48,5/17/2012,
091404,1716,Celtis occidentalis,X,,,,,,,,,Hackberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
091405,1716,Liriodendron tulipifera,2012,,,Liriodendron tulipifera,,N,Liriodendron,Magnoliaceae,Liriodendron tulipifera,Tulip tree,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,,,,1.30,1.35,1.50,2.91,3.74,4.59,5.44,6.17,6.70,7.34,7.85,8.46,9.15,,0.65,5/17/2012,
091406,1712,Acer saccharum,X,,,,,,,,,Sugar maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
091407,1706,Gleditsia triacanthos var. inermis,2012,,,Gleditsia triacanthos var. inermis,,N,Gleditsia,Fabaceae,Gleditsia triacanthos var. inermis,Honey locust,,0,0,0,0,0,0,2,0,2,2,2,0,E,,0,0,0,15,0,15,40,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,2,1,1,2,2,2,1,1,1,,,,1.70,1.65,1.81,3.03,3.82,4.73,5.53,6.39,7.07,7.74,8.32,8.77,9.47,,0.66,5/17/2012,
091408,,Acer saccharinum,X,,,,,,,,,Silver maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
091409,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091500,17th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091501, Cem,,X (I),,,,,,,,,Austrian pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X (I),
091502, Cem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091503, Cem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091504, Cem,,X (I),,,,,,,,,Austrian pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X (I),
091600,16th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091601,Hope church,Acer glabrum,2012,2019,7,,,,,,Acer glabrum,Rocky Mtn maple,,1,1,1,0,3,4,,1,,,,,,,0,0,3,15,100,,100,,,,,,2,1,,,0,,,,,,1,2,2,3,3,4,6,5,6,6,6,6,Died,,,2.40,2.50,2.48,3.07,3.43,3.37,3.35,,,,,,,,,5/17/2012,Died
091602,1508 N 16th,Liquidambar styraciflua,2020,2020,0,,,,,,Liquidambar styraciflua,Sweetgum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,Human,,,,,,,,,,2.21,,,,,,,,10/16/2019,Unknown
091602.1,1508 N 16th,Syringa reticulata,2021,,,Syringa reticulata,Ivory Silk,E,Syringa,Oleaceae,Syringa reticulata,Japanese tree lilac,,,,,,,,,,0,2,0,0,,,,,,,,,,0,0,0,20,,,,,,,0,0,0,0,,,,,,,,,,2,3,1,1,,,,,,,,,,,,1.27,1.30,1.39,1.56,1.71,,0.11,5/18/2021,
091603,1514,Syringa reticulata,2012,,,Syringa reticulata,,E,Syringa,Oleaceae,Syringa reticulata,Japanese tree lilac,,0,0,0,0,1,0,0,0,0,0,0,0,,,0,2,5,1,0,0,0,0,0,0,20,,1,1,0,0,0,0,0,0,0,,1,2,2,2,2,1,2,2,1,1,1,1,,,,1.35,1.25,1.69,1.93,2.24,2.59,2.38,2.54,2.60,2.95,3.19,3.40,3.53,,0.17,5/17/2012,
091604,1514,Acer glabrum,2012,,,Acer glabrum,,E,Acer,Aceraceae,Acer glabrum,Japanese tree lilac,,0,2,2,0,2,0,0,1,2,1,1,2,E,,0,5,15,10,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,,1,3,3,2,3,1,2,2,2,2,1,2,,,,2.50,2.50,2.44,2.95,3.15,3.23,2.94,3.17,3.41,3.96,4.15,4.58,5.14,,0.18,5/17/2012,
091605,1508,Crataegus crus-gali var. inermis,2012,,,Crataegus crus-gali var. inermis,,N,Crataegus,Rosaceae,Crataegus crus-gali var. inermis,Cockspur hawthorn,,1,0,2,4,1,3,4,0,0,0,0,0,,,0,0,1,60,40,90,0,0,20,0,0,,0,0,2,0,0,0,0,0,0,,1,1,3,4,3,4,4,3,1,3,2,3,,,,2.00,2.00,2.01,2.64,,2.82,4.36,3.43,2.96,3.23,3.25,3.35,3.44,40,0.12,5/17/2012,
091606,1502,Maackia serrata,2012,,,Maackia serrata,,E,Maackia,Fabaceae,Maackia serrata,Amur maackia,,0,0,0,0,0,0,1,2,0,0,0,0,,,0,0,0,20,0,10,30,0,0,0,0,,0,1,0,0,0,0,0,0,0,,1,1,1,3,2,1,3,3,1,1,1,1,,,,3.00,3.00,2.80,3.23,3.62,3.99,4.36,4.73,5.09,5.33,5.85,6.26,6.60,,0.30,5/17/2012,
091607,1500,Syringa reticulata,2012,,,Syringa reticulata,,E,Syringa,Oleaceae,Syringa reticulata,Japanese tree lilac,,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,10,2,0,10,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,1,3,2,1,2,1,1,,,,1.30,1.30,1.42,1.93,2.24,2.43,2.64,2.93,3.22,3.42,3.70,4.08,4.32,,0.24,5/17/2012,
091700,15th Street,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
091800,14th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091900,13th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091901,1226,Syringa reticulata,2012,,,Syringa reticulata,,E,Syringa,Oleaceae,Syringa reticulata,Japanese tree lilac,,0,1,0,0,0,4,3,4,3,3,4,3,M,,0,0,5,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,2,1,2,2,4,4,4,3,3,3,3,,,,1.40,1.30,1.38,2.05,,3.00,3.28,3.51,3.75,4.04,4.24,4.47,4.74,,0.29,5/17/2012,
091902,1226,Crataegus,X,,,,,,,,,Hawthorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
091903,1224,Crataegus,X,,,,,,,,,Hawthorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
091904,1224,Crataegus,X,,,,,,,,,Hawthorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
